assignment_id,job_id,worker_code,worker_id
3EG49X351YKM02M1R6VQZE23X1IX67,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:gFPzR,A3GQR#####AQJY
3O6CYIULEH9SDD7CDJX7D12CRLVWUG,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:ZRyN8,A3819#####M0T9
37Z929RLGDGK6JBET9XWBGDP2UTST7,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:TNaJw,A3PKT#####WR97
3NG53N1RLZR4V73YYUI7PFCR1X3P81,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,dropped,A7UMU#####KNX
39LOEL67OWDXOIYB0WL0CC9QW1C384,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:tzTZI,AKJ22#####IQX
3IXQG4FA2X625ILYKH6KUR2D4Z49BN,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:MDEGQ,A272X#####FYLB
3HYA4D452VRHIFCF4AD13ULKDRL2F5,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:O4Gwb,AKOOC#####15H
3QBD8R3Z25RLR64V7RFFJ3RWP8QO4V,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:d03So,AECDI#####BY2
3PMBY0YE2BBLFND4YH2F5B8VMMLC9I,3ZRKL6Z1FBBDFUREJ7TOND2DE7RSG5,t00:aJ2LE,A33L6#####76DB
3EO896NRA01YYGIP3IYF2X8OEMYJT9,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:Vz8GF,A30UE#####UCWX
3HFNH7HEMLKBFY0WE8JH0F5L2NMGQS,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:5uvSM,A30KY#####7JER
3MH9DQ7570I37R7DVH3MAG2A58OUG7,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:EODI8,A3V11#####S412
3GDTJDAPVYH514WM3H0CRT4I44W8M3,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:2V7e5,A1YGF#####B30G
388U7OUMFB7EGV4BDLJEKDSARTQ0R3,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:Wh1bs,A1578#####377Y
3JNQLM5FT8SA97CCNOQWHPCQIZRL2O,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:zo2qy,AMPMT#####MK8
33C7UALJVP485FAXAVHE71GF6U818X,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,dropped,A2H26#####CIYC
340UGXU9D27MPOX8KC28AH5KSPGVU5,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:8Fwfn,A1LRJ#####32TM
3MB8LZR5BJZ5QNG2CUW0HLYKZ1NKLN,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:bWfjr,A1F2G#####WQ6M
3VJ40NV2QMTCZR9MJVQKATPADJJOTE,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:s1J6e,A3K3Z#####R0ZH
30BXRYBRP83UZRRTAN05D4Z85RQHWC,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:CGmBk,A2XUA#####1HQ5
308XBLVESMAF0I7LB1G34UOTIYYRBT,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:9J5po,A1YFV#####CXSF
3U4J9857OIH5IZN62NIXZDXTHNJ7BR,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:4HtQe,A2REV#####A1RR
3Z3ZLGNNSM0ALMO8JTCXHLGCYKHQ3Y,3NCN4N1H2JNSZ0H0SSUK6QOVJL0NBK,t00:QgPI6,A10AV#####R4UQ
3VE8AYVF8Q3ZVU45HUWZW3K975LF88,3NZ1E5QA727O9BBUOSYYC9O9S0SB5A,t00:loFdp,A15FX#####NW31
3RXCAC0YIVV59U00SE2HEOKL8K2G8P,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:DhihT,A1DIW#####9CMO
3NPFYT4IZGAVOV180ME9UN1EZTBXGE,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:14fPD,A1N7O#####03D8
32ZKVD547JTNHGMJ0BF7MWLDCLL3B6,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:GKdtc,A297O#####0XS3
3ERMJ6L4D2Y11QR3TC86DT8NTMAM7I,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:KVsbM,A3LVL#####1ZD7
3PQMUDRV7VCCURI8ROEBCPRFQU5IIZ,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:P5vi2,A22DF#####GRLV
3H7Z272LXBD61EDIPM18D2KJTBOPLO,3S4TINXCD3TAHLHCT7UXLFO09VBBOT,t00:0GKb5,A1F1O#####77D8
358010RM5IZE6SR3PHDVUO4OM97VXB,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:1jBQm,A2NA2#####COZY
3BDCF01OG100AS5JG9XRQTDVXHZYL1,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:TPgO5,A1FYW#####KN1O
3FK0YFF9P3MM23M8P2CD63736YZVV8,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:h2aUA,APB33#####EWK
3PJ71Z61R888JKT7FNNS7XBQQ2A19A,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A1UU2#####FEX1
3TY7ZAOG5JQSTRRGN1AHJ16WW4FK0J,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:p9FsT,A1Z8A#####IV43
33LK57MYLXBNJVAEW4WBGM0SV5DSZ2,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A258M#####6JEP
3JZQSN0I3UGEO9AN0S8NOG17VPPFGH,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:I5Noe,A1ZN6#####VVAH
33C7UALJVP485FAXAVHE71GF6WT81T,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:avXhv,A3NCE#####7GUI
3DR23U6WE9KQN0WXPHNO5HVW9IGTEK,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:WIHct,A3RHJ#####GY2U
3OSWBBLG1I3SCBRHYWD1O2YHM25XDG,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:tumSE,AMYUR#####C8T
3IRIK4HM3EQ5O417XD904J3F4YU6CV,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:iKYln,A2ZXE#####1E16
3L4PIM1GQXMBDQ0WLTUNC5MU39QYRT,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:2s6Pp,A1FNN#####BU8U
37ZHEEHM60S0F4JTNU3RHUZHTW273Y,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:ZfTP9,A27SR#####XUHM
3C44YUNSI5VN32PQC53KUPCEK3UPDI,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:lE61e,A2MSV#####3WIU
32XVDSJFP33UFPUXN0RBH2RFI7X2MT,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:fF0B3,A3O0E#####CZ92
3ZR9AIQJUFF7FP2D29N1CKH0ZIQ40E,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:GAxTH,A3MJC#####K0US
3PB5A5BD0ZC19GVHI9AB0OOQX19G7H,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:Le0vi,APGX2#####WDN
32AT8R96GPF6XWG4QHX3ZULDTNYUSF,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:0T4hq,A3J85#####FYW0
33FOTY3KEQRAHI0AR7XJ9NCYWNH1CV,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:Cras7,AADRV#####H75
3QAVNHZ3EQAZEA7G03JBN7VOUQ1AL8,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:6dikI,A2O7L#####IHAF
36AHBNMV1VIHCGHR3SZ37G5QO83DY6,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:v6Tm3,A2E3S#####ENIR
3KJYX6QCMDHDB8ME8DYU3FW9BBXJVG,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:lXFSv,A230G#####3SE7
3K5TEWLKGZHHGX28QVDUREH9YW9IV4,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:N4LjV,A18XF#####1OL1
3OVHNO1VEA7HH6RWZE1MLNESU27DZX,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:jJE4J,AZCGF#####O10
3G5W44VEUBOP4V2113ZK4TTC3LAGKO,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:1wPwJ,AIVOF#####LGM
3E7TUJ2EGGS2BF9JVG7N8ZCZFZI9DD,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:6LNKX,A3FBC#####Z05K
3E13VNJ1NR11ULMAJHT5KQAT9SZI1C,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:YSRok,A3V1V#####YN17
3QECW5O0KL7QRH34EGUL1NPJWPOT5Q,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:QSCKA,A30MP#####MIFD
3RUIQRXJBFUGATYKXU81WLBZO21LL2,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:Lk8bk,A18QU#####Q8DF
3JJVG1YBEF3QVV9NEU301TJXQIPB5J,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:OdiiJ,A21UA#####AIQJ
3MMN5BL1W3AJ07QGR05G0CW7OLZM3Q,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:gM3uv,A379F#####3SVU
3Q8GYXHFET89501TSUZVCDPF83OC5Q,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A3JNS#####X3D7
3A0EX8ZRNCUOXJJ7PW8XCQHQLNRYBK,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:pxcsx,A320Q#####UOZO
33LK57MYLXBNJVAEW4WBGM0SV5HSZ6,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A3SCS#####P3LB
3IAEQB9FMIQDNBMRORHFMJKAD03DW7,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:mTN0e,A3IE3#####XFGN
3IXQG4FA2X49WIBZHKGHD9OZCE99B9,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:xvdYT,A1EN3#####SXQQ
3TU5ZICBRH7WMJUEVA7T82ONE8QQ8B,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:dhikR,A14WL#####EKO0
3GA6AFUKOSUX8TP503P387OB7Z3H3F,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:5TN98,A2XQ3#####ZNYB
379J5II41SM24NOSG8LXJQLFF52ELA,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:pKgFx,A25KG#####OAOJ
3LBXNTKX0V1G9LE0MG8Z26FRVHX9XI,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:PhB4d,ASVRL#####UD9
38F71OA9GX2EGJ69BV6I1LL4RB8MF3,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:0CvNc,A1CE3#####PXSS
3S96KQ6I9QALVUIXTMC4ZZDB96FTDR,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:xbUpI,A3RVX#####ATQ
337RC3OW098J6YAEBYA7JU91F05VLX,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:vO1fp,A2N9U#####DQ9F
33PPO7FECZLVMG2MZAD0LSB2YP8DI3,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:ghe9D,A2IP3#####V8M9
3Q8GYXHFET89501TSUZVCDPF83OC5Q,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:KWB8Q,A3A82#####Q2CV
3F0BG9B9MTT1V7GHCFWH7OVU2X27Y9,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:XGTtM,A1WL3#####EOWP
3Y4W8Q93L3Q08MMMYHCJ0H1W6RWVDA,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:XLFG2,A1Q4Z#####7K6I
3XIQGXAUMGECV2Q77JAFOAOL0RB7X6,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:AdR20,A2287#####EZ56
3COPXFW7XFIVH8V04MP7Y2744C3KP2,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:nY6FC,AXY0D#####E2A
3WLEIWSYHSN8NBTMW3BYPXJJ1L4H25,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:OxQbr,AB5T5#####D47
3X66WABAJ0OJ8XUUGX7LN7CASZPG3E,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:7UEPu,A2Y5I#####FR8H
3SNVL38CI8YCNJMWZH31E28X5TJKCJ,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,AWVIO#####NVU
3U0SRXB7CHBH1RWIERLCVPONZPXNR3,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:2l0PP,A2QNV#####UVMU
3FIJLY1B6YAK1M3M3BYAIPFZWGIFPR,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:OTf18,A25R2#####Q1OW
3OJSZ2ATDW23TJ6X1DRKWRX17S557Y,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A3T28#####TOIZ
3DH6GAKTY2VKFHMNVAO0Y8OTCQDZYR,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:V0XMI,AWCET#####7N4
39N5ACM9HITB0CC90PYI8TTOTIP9PV,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:XZ4Sv,A13FU#####LBUY
3EQHHY4HQWYMMCHYUGVE24AU6VPG5D,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:Tx3oO,A16RL#####18F5
3FPRZHYEP2D2QUKP5S67N8FKFEMV3R,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:XGJLA,A2NY4#####7O1C
3TS1AR6UQUKVVGZM7P4TI3OEWMMF7U,33KGGVH25XNWYWDCS1O4YG2KZNQX12,dropped,A3MCG#####EZR8
3ERMJ6L4D2Y11QR3TC86DT8NTNY7MT,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:sXjHO,A2LV5#####1S39
3U5JL4WY5OFFCF8O5LC8LY4B9PRX4I,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:MKjUH,AS4E9#####O5Z
3LWJHTCVCGS51Y413ODZIU591CEFQS,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:e6S2X,A2UZT#####UBGE
3VHHR074H7NHV89IT07RDGTYTI87LR,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:0PYqz,A3BLJ#####ZC9U
3MX2NQ3YCD0X8YCOJQVIQQAP9LM5XV,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:YgCBh,A59L6#####C3V
35LDD5557EAPW5YNC6XFHYD9Z7ZKMD,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:GeEES,A1B14#####7008
32KTQ2V7RHL5F9FW896QRPZTODN9M8,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:dufoP,A17FG#####9RZA
386CSBG1O3S9I5BQ2VAVOOSW8DC6QH,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:COgSz,A2BRZ#####AVER
39DD6S19JTHM9C5WV9C6R5WDUEJZEN,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:ZX6lI,A2QG8#####6F9P
3FIJLY1B6YAK1M3M3BYAIPFZWGLFPU,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:f8wdt,A128D#####4LOJ
3AQF3RZ55COCRGLHOFZ1CPOI1B2F6V,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:dfcCn,A3G6L#####KR7F
3VHP9MDGRRQ17XUIY6C4YPGSXXDCFK,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:3naqN,A2DZ1#####LUVY
3MHW492WW4J3CGSZBABMJ7OQF59VMD,33KGGVH25XNWYWDCS1O4YG2KZNQX12,t00:tiM8v,A3P42#####PWIB
33CKWXB73NQQUFQCBA8ZSRT7SQ911O,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:wCH9U,ABUF5#####JQO
36DSNE9QZ94ILODH71CG8N21FIIJOW,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:qMnuI,A2NI2#####FE1S
34X6J5FLPX4L60QXME4KXSX1UJ0JQ4,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:qGCvT,A1R9Z#####DXLM
3I0BTBYZA1RNDWGXRGB8S9L7UJC0YI,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:MsOUo,A2XQ3#####T2ZQ
37ZHEEHM60S0F4JTNU3RHUZHTWN73J,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:RyKc8,A1NB2#####7JEG
3VA45EW49RTBQ7XDHC6A4N6FL1JO1Y,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:NDGRH,A1EPE#####9XO2
39DD6S19JTHM9C5WV9C6R5WDUEPZET,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:JQjd8,A26VF#####XWSX
3LJ7UR74RLJA0LUK3FPZNWDD7BO4NC,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:1K1iD,A1P47#####LQ6P
37Z929RLGDERXJ1FQC7TUYZBA9CTS8,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:YzMat,A2FOU#####HIE0
3P1L2B7AD5VOGE1HAMOTO2FTJ7NLO0,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:ESXCU,A3BHR#####X3GO
3W92K5RLWYN5497TJBU025D4TAKV5O,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:otiuH,A30PN#####8SKY
3N4BPTXIOCY89D3WL8O188U3CT6UKJ,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:01MMq,AR8MB#####NDR
3EA3QWIZ4M1235YJL0DFQWTO1BBTIH,3QHITW7OZRF8JNP026M5F9ZU6EEQAR,t00:uyCnt,A2QPM#####LUW2
